dept_record_id,source_dept,full_name,date_of_birth,aadhaar_no,pan_no,mobile,bank_account,address,pincode,gender,occupation,annual_income,education,land_hectares,scheme_applied,scheme_status,amount_disbursed,last_updated,_truth_id
AGR-358635,Agriculture,Deepaak Sharma,1975-05-17,893498978756,CHBDH6438C,9233654018,60677789788,"243/gandhi marg, haridwar, uttarakhand, 249401",249401,M,shopkeeper,180000,,3.58,PM-Kisan Samman Nidhi,pending,120000,2023-07-17,P0071
AGR-270162,Agriculture,KAVITA GUPTA,1992-11-13,389058395037,,9487298927,19047567324,"127/gandhi marg, rishikesh, uttarakhand, 249201",249201,M,farmer,120000,graduate,1.44,Krishi Sinchai Yojana,approved,6000,2026-06-26,P0109
AGR-758237,Agriculture,Mohan Rawat,1958-09-14,867096833196,,9675134276,15113079638,"171/shivalik vihar, roorkee, uttarakhand, 247667",247667,F,labourer,180000,,2.41,Kisan Credit Support,approved,50000,2024-06-15,P0100
AGR-746915,Agriculture,Suneeta Chauhan,2005-11-17,,,9186748119,92987838356,"60/gandhi marg, haldwani, uttarakhand, 263139",263139,M,student,45000,10th,1.1,PM-Kisan Samman Nidhi,rejected,50000,2026-06-06,P0051
AGR-712546,Agriculture,Deepaak Yadav,2006-05-11,671055261166,,9611201082,72237603717,"H.No 246, Nehru Nagar, Rishikesh - 249201",249201,F,farmer,45000,12th,0.89,Krishi Sinchai Yojana,pending,12000,2025-03-22,P0029
AGR-349185,Agriculture,  Deepak Patel ,2003-05-10,722211269149,,9526351920,66016261680,"H.No 135, Station Rd, Roorkee - 247667",247667,M,farmer,,,3.45,Krishi Sinchai Yojana,approved,25000,2023-08-17,P0057
AGR-684413,Agriculture,Priya Gupta,1956-03-01,790848986304,,9581331845,60586197987,"215/gandhi marg, dehradun, uttarakhand, 248001",248001,F,teacher,250000,none,1.81,Kisan Credit Support,pending,12000,2026-05-05,P0050
AGR-932251,Agriculture,VIKRAM SINGH,1964-09-24,,,9636687537,85577418698,"H.No 214, Shivalik Vihar, Haridwar - 249401",249401,F,farmer,,postgraduate,2.3,Kisan Credit Support,rejected,6000,2023-04-14,P0068
AGR-130782,Agriculture,  Geeta Kumar ,2004-11-11,340081233591,,9214257751,99638194710,"68/shivalik vihar, haridwar, uttarakhand, 249401",249401,F,labourer,650000,,2.44,Krishi Sinchai Yojana,rejected,6000,2025-03-09,P0005
AGR-954987,Agriculture,Lakshmi Kumar,1976-10-23,876523156383,,9680911523,91758564086,"137/main road, haridwar, uttarakhand, 249401",249401,F,farmer,80000,,3.99,PM-Kisan Samman Nidhi,pending,12000,2024-01-18,P0041
AGR-502233,Agriculture,ANITA YADAV,2004-03-03,364393554176,,9257243284,36869178923,"153/shivalik vihar, roorkee, uttarakhand, 247667",247667,F,student,250000,10th,3.04,Krishi Sinchai Yojana,approved,6000,2023-08-19,P0059
AGR-928226,Agriculture,Kavita Rawat,1999-08-12,692023537955,,9809656613,49924469598,1 Main Road Roorkee 247667,247667,M,shopkeeper,250000,,0.67,PM-Kisan Samman Nidhi,approved,120000,2024-11-03,P0072
AGR-908422,Agriculture,SURESH KUMAR,1959-05-12,879597856425,,9216396351,68396828876,"181/shivalik vihar, rishikesh, uttarakhand, 249201",249201,F,,400000,12th,1.75,Krishi Sinchai Yojana,approved,25000,2025-12-10,P0017
AGR-319770,Agriculture,Singh Pooja,2001-11-21,,,9613818935,34188121296,"H.No 207, Nehru Nagar, Haridwar - 249401",249401,F,student,45000,,0.15,PM-Kisan Samman Nidhi,approved,25000,2023-02-08,P0070
AGR-249274,Agriculture,Harish Patel,1974-03-06,782646946669,KFCAB5496B,9771112648,92905000391,"H.No 109, Main Road, Haridwar - 249401",249401,F,teacher,45000,,2.56,PM-Kisan Samman Nidhi,approved,0,2023-08-04,P0078
AGR-308781,Agriculture,Suresh Kumar,1959-05-12,,,9216396351,68396828876,"130/nehru nagar, rishikesh, uttarakhand, 249201",249201,F,,,12th,1.75,Krishi Sinchai Yojana,rejected,25000,2024-08-19,P0017
