dept_record_id,source_dept,full_name,date_of_birth,aadhaar_no,pan_no,mobile,bank_account,address,pincode,gender,occupation,annual_income,education,land_hectares,scheme_applied,scheme_status,amount_disbursed,last_updated,_truth_id
EDU-734792,Education,Suresh Chauhan,1985-12-26,849534929115,KBKDB8213A,9664735673,74039859391,93 Shivalik Vihar Haridwar 249401,249401,F,farmer,,10th,,Merit Scholarship for PG,approved,120000,2024-11-09,P0040
EDU-116112,Education,Kavita Bisht,,,,9811443654,65599182910,"73/shivalik vihar, roorkee, uttarakhand, 247667",247667,M,teacher,45000,,,Merit Scholarship for PG,rejected,6000,2026-07-19,P0036
EDU-506968,Education,Kavita Patel,1972-05-09,924920363739,,9771124810,93733833869,128 Shivalik Vihar Rishikesh 249201,249201,M,teacher,80000,graduate,,Skill Training Stipend,pending,25000,2025-10-13,P0111
EDU-632294,Education,Anitaa Rawat,1977-03-09,599628481527,,9208337018,16845938012,"H.No 155, Nehru Nagar, Dehradun - 248001",248001,F,shopkeeper,250000,none,,Post-Matric Scholarship,approved,25000,2024-10-07,P0097
EDU-266316,Education,Sanjay Patel,,657051831153,JECFA6661E,9421214426,71203705842,"65/nehru nagar, rishikesh, uttarakhand, 249201",249201,F,,80000,graduate,,Skill Training Stipend,approved,0,2024-11-14,P0043
EDU-258975,Education,Geeta Bisht,2002-03-21,866991201768,,9260221190,62827618829,"110/nehru nagar, haridwar, uttarakhand, 249401",249401,F,student,650000,postgraduate,,Merit Scholarship for PG,approved,0,2026-03-25,P0099
EDU-858931,Education,Vikram Singh,1995-05-25,974149195499,,9261953189,62532868056,"H.No 134, Shivalik Vihar, Rishikesh - 249201",249201,M,unemployed,,10th,,Skill Training Stipend,pending,6000,2023-01-21,P0022
EDU-876487,Education,Rajesh Rawat,1979-07-03,476966972943,,9124411864,52857291156,"H.No 101, Main Road, Roorkee - 247667",247667,M,shopkeeper,400000,postgraduate,,Post-Matric Scholarship,pending,120000,2026-05-11,P0096
EDU-710185,Education,Anita Rawat,1962-05-15,524425861829,CDGCJ3616G,9451581531,91319843645,"92/nehru nagar, roorkee, uttarakhand, 247667",247667,M,unemployed,120000,10th,,Merit Scholarship for PG,approved,25000,2023-02-09,P0081
EDU-848021,Education,Saanjay Singh,1971-01-23,810195189821,,9437064353,52520377395,233 Station Rd Rishikesh 249201,249201,M,teacher,120000,graduate,,Skill Training Stipend,approved,12000,2023-08-05,P0018
EDU-787757,Education,DEEPAK CHAUHAN,1959-01-22,589157412307,JJDEJ3664C,9481469012,21373225387,"213/gandhi marg, haldwani, uttarakhand, 263139",263139,F,teacher,400000,10th,,Merit Scholarship for PG,approved,120000,2026-07-15,P0002
EDU-319927,Education,  Rajesh Sharma ,,766657282204,,9203810954,58936443839,130 Station Rd Haridwar 249401,249401,F,labourer,,12th,,Skill Training Stipend,rejected,50000,2026-09-06,P0083
EDU-558339,Education,  Lakshmi Kumar ,1976-10-23,876523156383,,9680911523,91758564086,"H.No 97, Gandhi Marg, Haridwar - 249401",249401,F,farmer,,12th,,Merit Scholarship for PG,rejected,120000,2025-05-21,P0041
