dept_record_id,source_dept,full_name,date_of_birth,aadhaar_no,pan_no,mobile,bank_account,address,pincode,gender,occupation,annual_income,education,land_hectares,scheme_applied,scheme_status,amount_disbursed,last_updated,_truth_id
HOU-791609,Housing,Kavita Gupta,1994-01-19,887064328052,,9501707828,71809450598,3 Gandhi Marg Roorkee 247667,247667,F,unemployed,250000,postgraduate,,State Housing Subsidy,approved,50000,2026-08-24,P0115
HOU-925386,Housing,RAJESH SHARMA,1991-09-07,766657282204,,9203810954,58936443839,77 Shivalik Vihar Haridwar 249401,249401,F,labourer,250000,,,PM Awas Yojana (Gramin),rejected,0,2025-05-03,P0083
HOU-264404,Housing,Deepak Sharma,1975-05-17,893498978756,,9233654018,60677789788,"44/shivalik vihar, haridwar, uttarakhand, 249401",249401,M,shopkeeper,,graduate,,State Housing Subsidy,pending,6000,2026-08-09,P0071
HOU-655575,Housing,Mohan Seengh,,,FACEF6279D,9574364121,79637317274,36 Gandhi Marg Haldwani 263139,263139,M,shopkeeper,650000,10th,,Rural Shelter Grant,approved,12000,2024-02-16,P0019
HOU-345770,Housing,  Rajesh Yadav ,1994-07-26,755064848055,,9437351729,50025391490,"147/gandhi marg, haridwar, uttarakhand, 249401",249401,F,unemployed,400000,,,PM Awas Yojana (Gramin),approved,12000,2026-09-12,P0112
HOU-794868,Housing,Saanjay Yadav,1985-09-17,753564196764,HCCBB2958F,9675379544,34439066376,"H.No 194, Shivalik Vihar, Roorkee - 247667",247667,M,,80000,graduate,,PM Awas Yojana (Gramin),approved,120000,2026-06-02,P0030
HOU-846030,Housing,Rekha Negi,1973-08-17,820128744522,,9558234365,58339383596,"H.No 116, Station Rd, Rishikesh - 249201",249201,F,student,400000,graduate,,State Housing Subsidy,rejected,6000,2026-09-13,P0052
HOU-288646,Housing,Vikram Rawat,1997-07-16,952454754531,,9816328133,15619618497,"H.No 50, Main Road, Haridwar - 249401",249401,F,student,180000,postgraduate,,Rural Shelter Grant,approved,50000,2026-07-02,P0056
HOU-785836,Housing,Amit Guptaa,2006-05-24,250551691049,HFADA1987A,9606882594,48791005916,"236/station rd, haldwani, uttarakhand, 263139",263139,M,shopkeeper,80000,,,State Housing Subsidy,approved,50000,2024-08-15,P0095
HOU-892682,Housing,Harish Gupta,,957681365397,,9755338677,64409455182,"H.No 129, Main Road, Dehradun - 248001",248001,F,labourer,45000,,,PM Awas Yojana (Gramin),pending,25000,2026-01-16,P0028
HOU-379133,Housing,Meena Rawat,1996-09-17,923792618668,CJDHG4050A,9890937440,88576530849,"154/gandhi marg, roorkee, uttarakhand, 247667",247667,M,unemployed,650000,10th,,PM Awas Yojana (Gramin),pending,6000,2023-05-09,P0091
HOU-961760,Housing,Geeta Rawat,1981-01-07,,,9902638839,86169673298,"H.No 157, Gandhi Marg, Roorkee - 247667",247667,M,teacher,80000,graduate,,PM Awas Yojana (Gramin),approved,120000,2025-02-25,P0023
HOU-357912,Housing,Mohaan Verma,,,DAFDD5781D,9516396603,21936440447,"H.No 234, Main Road, Haridwar - 249401",249401,F,unemployed,250000,10th,,Rural Shelter Grant,approved,12000,2024-05-15,P0110
HOU-767349,Housing,Vikraam Singh,1995-05-25,974149195499,,9261953189,62532868056,71 Main Road Rishikesh 249201,249201,M,unemployed,80000,10th,,PM Awas Yojana (Gramin),approved,0,2023-05-25,P0022
HOU-795350,Housing,Sanjay Verma,1958-09-17,568697923455,BJEGH9008A,9648011361,70368496114,147 Gandhi Marg Haridwar 249401,249401,F,,250000,graduate,,Rural Shelter Grant,approved,0,2025-11-22,P0094
HOU-531256,Housing,Priya Kumar,1981-02-04,445661106620,,9172127903,15584591723,"27/shivalik vihar, rishikesh, uttarakhand, 249201",249201,F,unemployed,45000,,,Rural Shelter Grant,rejected,0,2026-01-03,P0116
HOU-115267,Housing,  Anita Negi ,1966-09-06,,,9759392301,39562678140,"H.No 172, Main Road, Dehradun - 248001",248001,F,shopkeeper,250000,graduate,,PM Awas Yojana (Gramin),approved,120000,2024-01-14,P0117
HOU-673896,Housing,Amit Joshi,1972-11-23,580163131916,,9803771909,63683789489,"H.No 88, Main Road, Dehradun - 248001",248001,F,unemployed,180000,,,State Housing Subsidy,approved,25000,2026-01-14,P0003
HOU-212537,Housing,Rekhaa Chauhan,1993-06-27,294514642330,,9786111573,74554586390,"H.No 59, Nehru Nagar, Dehradun - 248001",248001,M,unemployed,,,,Rural Shelter Grant,approved,25000,2025-12-10,P0079
HOU-587648,Housing,Suneeta Yadav,1992-09-05,823016856050,,9210373808,69591437379,"H.No 39, Main Road, Haldwani - 263139",263139,F,teacher,400000,10th,,PM Awas Yojana (Gramin),rejected,6000,2023-07-27,P0015
HOU-908348,Housing,  Priya Rawat ,1959-03-25,598075116992,ADCBD5295E,9509123009,99431601323,"31/gandhi marg, roorkee, uttarakhand, 247667",247667,M,labourer,45000,10th,,Rural Shelter Grant,pending,0,2025-09-02,P0046
HOU-913608,Housing,Rajesh Bisht,1977-10-10,612274845497,,9407298630,92592729598,"5/shivalik vihar, dehradun, uttarakhand, 248001",248001,F,labourer,,10th,,State Housing Subsidy,rejected,25000,2024-09-22,P0044
HOU-585964,Housing,Vikraam Chauhan,1983-04-20,681090474279,,9832215964,57186978872,"H.No 164, Nehru Nagar, Roorkee - 247667",247667,M,unemployed,120000,,,Rural Shelter Grant,approved,0,2023-05-16,P0075
HOU-988432,Housing,Kavita Joshi,1986-08-07,,,9303901283,37044154194,"H.No 119, Main Road, Dehradun - 248001",248001,M,farmer,250000,postgraduate,,Rural Shelter Grant,approved,25000,2026-03-12,P0010
HOU-632056,Housing,  Rajesh Bisht ,1957-10-05,,HFFDG5089A,9127824235,34634535947,"75/shivalik vihar, roorkee, uttarakhand, 247667",247667,F,shopkeeper,250000,graduate,,PM Awas Yojana (Gramin),approved,120000,2023-12-16,P0074
HOU-958620,Housing,HARISH PATEL,,782646946669,,9771112648,92905000391,"H.No 177, Station Rd, Haridwar - 249401",249401,F,teacher,45000,postgraduate,,State Housing Subsidy,approved,6000,2025-01-24,P0078
HOU-484150,Housing,Sunitaa Kumar,2005-08-02,,,9638798023,48283135050,"236/gandhi marg, haridwar, uttarakhand, 249401",249401,M,student,120000,graduate,,Rural Shelter Grant,approved,12000,2026-06-26,P0045
HOU-256219,Housing,Sanjay Chauhan,1997-09-07,931364555967,KAKKB8846B,9846923032,62417984820,"H.No 105, Nehru Nagar, Dehradun - 248001",248001,M,student,250000,12th,,State Housing Subsidy,pending,120000,2025-11-03,P0101
HOU-635962,Housing,Meena Negee,1955-09-14,333028588560,,9996278008,42092939595,205 Nehru Nagar Dehradun 248001,248001,F,shopkeeper,250000,10th,,State Housing Subsidy,approved,25000,2023-12-17,P0038
HOU-606489,Housing,Deepak Gupta,1995-10-01,290564644990,,9350180427,95472129961,172 Main Road Haridwar 249401,249401,M,farmer,120000,,,Rural Shelter Grant,approved,12000,2024-12-20,P0049
HOU-648102,Housing,Sanjay Joshi,1974-10-20,,,9538642403,76974909090,"108/gandhi marg, roorkee, uttarakhand, 247667",247667,M,,45000,10th,,State Housing Subsidy,rejected,50000,2023-02-16,P0033
HOU-556538,Housing,Rawat Meena,1956-06-11,352660401436,,9155142186,76930722835,"163/gandhi marg, haldwani, uttarakhand, 263139",263139,M,student,250000,,,Rural Shelter Grant,rejected,6000,2026-04-04,P0085
HOU-689485,Housing,Priyaa Yadav,1990-06-04,668747058030,JKJGG1430E,9806340901,11148679234,24 Station Rd Dehradun 248001,248001,M,student,120000,12th,,Rural Shelter Grant,rejected,0,2025-08-05,P0054
HOU-626100,Housing,Ameet Rawat,1988-09-20,447271085634,,9454002758,83420343971,9 Main Road Dehradun 248001,248001,F,unemployed,,12th,,State Housing Subsidy,approved,6000,2025-08-17,P0062
