dept_record_id,source_dept,full_name,date_of_birth,aadhaar_no,pan_no,mobile,bank_account,address,pincode,gender,occupation,annual_income,education,land_hectares,scheme_applied,scheme_status,amount_disbursed,last_updated,_truth_id
RUR-806357,RuralDev,Anita Gupta,1959-11-27,981759517689,,9245668163,71798763265,153 Shivalik Vihar Haldwani 263139,263139,F,labourer,400000,postgraduate,,Village Infra Grant,approved,12000,2023-08-19,P0047
RUR-841484,RuralDev,RAJESH BISHT,1957-10-05,947970958273,,9127824235,34634535947,96 Nehru Nagar Roorkee 247667,247667,F,,250000,graduate,,Rural Livelihood Mission,pending,25000,2024-08-11,P0074
RUR-334176,RuralDev,Mohan Singh,1981-11-13,473059307653,,9574364121,79637317274,"H.No 85, Station Rd, Haldwani - 263139",263139,M,shopkeeper,650000,10th,,Rural Livelihood Mission,rejected,50000,2023-08-07,P0019
RUR-244464,RuralDev,GEETA BISHT,2002-03-21,866991201768,,9260221190,62827618829,"H.No 197, Main Road, Haridwar - 249401",249401,F,student,650000,postgraduate,,MGNREGA Wage Support,approved,12000,2025-12-25,P0099
RUR-621877,RuralDev,DEEPAK BISHT,1963-05-02,999570812680,,9258214411,69403893323,"H.No 171, Nehru Nagar, Dehradun - 248001",248001,F,farmer,80000,graduate,,Rural Livelihood Mission,rejected,120000,2026-08-14,P0066
RUR-316509,RuralDev,KAVITA GUPTA,1994-01-19,887064328052,BACHF4621D,9501707828,71809450598,"122/gandhi marg, roorkee, uttarakhand, 247667",247667,F,unemployed,250000,postgraduate,,MGNREGA Wage Support,pending,12000,2024-01-05,P0115
RUR-557629,RuralDev,AMIT KUMAR,1965-07-22,680629235833,,9853703117,94845960293,182 Shivalik Vihar Haridwar 249401,249401,M,farmer,250000,graduate,,Rural Livelihood Mission,approved,12000,2023-04-28,P0093
RUR-374375,RuralDev,Anita Rawat,1962-05-15,524425861829,,9451581531,91319843645,"5/main road, roorkee, uttarakhand, 247667",247667,M,unemployed,,10th,,Rural Livelihood Mission,pending,25000,2026-01-02,P0081
RUR-395485,RuralDev,Meenaa Gupta,1958-02-21,564716113868,,9904236062,52632015876,"225/nehru nagar, roorkee, uttarakhand, 247667",247667,F,farmer,,12th,,Village Infra Grant,rejected,120000,2024-02-15,P0090
RUR-583100,RuralDev,Kavita Bisht,1982-11-27,919387006700,,9811443654,65599182910,67 Main Road Roorkee 247667,247667,M,teacher,,graduate,,Rural Livelihood Mission,approved,25000,2025-09-18,P0036
RUR-117500,RuralDev,Geeta Kumar,,340081233591,EKJCF3927E,9214257751,99638194710,243 Nehru Nagar Haridwar 249401,249401,F,labourer,650000,postgraduate,,Rural Livelihood Mission,pending,0,2024-05-03,P0005
RUR-431889,RuralDev,  Rajesh Sharma ,1991-09-07,766657282204,,9203810954,58936443839,"H.No 207, Nehru Nagar, Haridwar - 249401",249401,F,labourer,250000,12th,,Village Infra Grant,approved,6000,2025-06-14,P0083
RUR-790472,RuralDev,Priya Gupta,2000-02-15,,AHCDB9702D,9707660630,32248174932,"H.No 193, Main Road, Rishikesh - 249201",249201,F,student,45000,postgraduate,,Village Infra Grant,approved,120000,2024-12-13,P0042
RUR-520245,RuralDev,Singh Vikram,1995-05-25,974149195499,,9261953189,62532868056,"177/nehru nagar, rishikesh, uttarakhand, 249201",249201,M,unemployed,80000,,,Rural Livelihood Mission,approved,6000,2023-07-19,P0022
RUR-832964,RuralDev,Preeya Gupta,2000-02-15,481059061474,,9707660630,32248174932,"H.No 1, Main Road, Rishikesh - 249201",249201,F,student,45000,postgraduate,,Village Infra Grant,pending,6000,2024-06-06,P0042
RUR-427637,RuralDev,Amit Rawat,1974-08-01,,,9676267306,66296271299,"29/shivalik vihar, haldwani, uttarakhand, 263139",263139,M,student,120000,12th,,Village Infra Grant,pending,50000,2024-09-02,P0082
RUR-603704,RuralDev,Amit Yadav,1976-07-09,,,9133318206,44143322405,"182/nehru nagar, dehradun, uttarakhand, 248001",248001,F,student,650000,none,,Village Infra Grant,pending,0,2023-01-13,P0025
RUR-428572,RuralDev,  Amit Joshi ,1972-11-23,580163131916,,9803771909,63683789489,"209/gandhi marg, dehradun, uttarakhand, 248001",248001,F,unemployed,,10th,,MGNREGA Wage Support,rejected,120000,2024-08-12,P0003
RUR-638857,RuralDev,SANJAY CHAUHAN,1995-04-04,697029831672,,9626350075,66287860835,198 Shivalik Vihar Haridwar 249401,249401,M,labourer,,graduate,,Rural Livelihood Mission,approved,120000,2026-02-07,P0027
RUR-471015,RuralDev,Meena Patel,1968-06-25,,BCHFF9626A,9810741110,94895644729,220 Station Rd Roorkee 247667,247667,F,student,,graduate,,MGNREGA Wage Support,pending,25000,2024-12-22,P0064
RUR-396439,RuralDev,NEHA SINGH,1966-12-17,915150822988,,9975106572,68002580547,"68/shivalik vihar, haridwar, uttarakhand, 249401",249401,M,teacher,180000,,,MGNREGA Wage Support,rejected,25000,2024-12-16,P0021
RUR-509985,RuralDev,Harish Gupta,1972-10-26,957681365397,,9755338677,64409455182,"H.No 163, Gandhi Marg, Dehradun - 248001",248001,F,labourer,45000,graduate,,MGNREGA Wage Support,approved,0,2024-02-02,P0028
RUR-713099,RuralDev,SANJAY PATEL,1969-08-21,,,9421214426,71203705842,"11/shivalik vihar, rishikesh, uttarakhand, 249201",249201,F,labourer,80000,graduate,,Rural Livelihood Mission,approved,6000,2024-08-03,P0043
RUR-789461,RuralDev,Ramesh Joshi,1976-11-22,884137048657,,9790147183,29020747010,"99/nehru nagar, rishikesh, uttarakhand, 249201",249201,M,shopkeeper,80000,,,Village Infra Grant,approved,12000,2026-03-05,P0024
RUR-372387,RuralDev,  Vikram Joshi ,1976-09-09,,JEEDH7180D,9445505799,39504714583,"H.No 66, Station Rd, Haridwar - 249401",249401,M,,80000,postgraduate,,Village Infra Grant,approved,50000,2024-05-12,P0039
RUR-629435,RuralDev,Rekha Chauhan,1993-06-27,294514642330,,9786111573,74554586390,"56/gandhi marg, dehradun, uttarakhand, 248001",248001,M,,250000,,,Village Infra Grant,approved,6000,2026-06-23,P0079
RUR-355177,RuralDev,Suresh Chaauhan,1985-12-26,,KBKDB8213A,9664735673,74039859391,23 Main Road Haridwar 249401,249401,F,farmer,,10th,,MGNREGA Wage Support,pending,12000,2024-12-09,P0040
RUR-587222,RuralDev,Meena Sharma,1987-12-22,892539372753,,9953556386,20294591749,"H.No 43, Main Road, Haldwani - 263139",263139,F,labourer,180000,,,Village Infra Grant,pending,12000,2024-10-27,P0105
RUR-232315,RuralDev,SUNITA YADAV,,823016856050,,9210373808,69591437379,"211/gandhi marg, haldwani, uttarakhand, 263139",263139,F,teacher,400000,10th,,MGNREGA Wage Support,approved,0,2026-09-13,P0015
RUR-798281,RuralDev,Suresh Chauhan,1985-12-26,849534929115,,9664735673,74039859391,"35/shivalik vihar, haridwar, uttarakhand, 249401",249401,F,farmer,400000,10th,,MGNREGA Wage Support,approved,50000,2023-11-11,P0040
RUR-386606,RuralDev,Chauhan Vikram,1983-04-20,,,9832215964,57186978872,"182/shivalik vihar, roorkee, uttarakhand, 247667",247667,M,,,none,,Rural Livelihood Mission,rejected,25000,2023-05-27,P0075
RUR-669097,RuralDev,Rajesh Bisht,1977-10-10,612274845497,,9407298630,92592729598,"H.No 188, Nehru Nagar, Dehradun - 248001",248001,F,labourer,80000,10th,,Rural Livelihood Mission,approved,50000,2024-08-10,P0044
