dept_record_id,source_dept,full_name,date_of_birth,aadhaar_no,pan_no,mobile,bank_account,address,pincode,gender,occupation,annual_income,education,land_hectares,scheme_applied,scheme_status,amount_disbursed,last_updated,_truth_id
SOC-150578,SocialWelfare,Rekha Yadav,1960-04-22,,,9718121922,64530426279,141 Station Rd Haldwani 263139,263139,F,,180000,10th,,Disability Support Allowance,approved,25000,2023-11-17,P0020
SOC-804791,SocialWelfare,Geeta Rawat,1981-01-07,,EKCDJ7865E,9902638839,86169673298,"169/shivalik vihar, roorkee, uttarakhand, 247667",247667,M,,80000,graduate,,Widow Pension Scheme,approved,50000,2026-08-17,P0023
SOC-869649,SocialWelfare,Deepak Gupta,2000-06-08,650531445915,,9677280546,79634967531,243 Shivalik Vihar Roorkee 247667,247667,F,labourer,80000,,,Disability Support Allowance,rejected,12000,2024-11-19,P0012
SOC-875501,SocialWelfare,Harish Bisht,1982-04-18,583061077537,KGEFB4681A,9463016614,87399752793,"198/gandhi marg, roorkee, uttarakhand, 247667",247667,F,teacher,80000,,,Old Age Pension,pending,0,2024-09-12,P0007
SOC-838936,SocialWelfare,Sunita Gupta,,251265592790,,9180943908,25248531107,"H.No 84, Gandhi Marg, Rishikesh - 249201",249201,F,farmer,400000,postgraduate,,Old Age Pension,approved,12000,2024-01-13,P0009
SOC-215806,SocialWelfare,Mohan Rawat,1958-09-14,867096833196,DCDAE7079A,9675134276,15113079638,"32/main road, roorkee, uttarakhand, 247667",247667,F,labourer,180000,postgraduate,,Widow Pension Scheme,approved,25000,2025-04-26,P0100
SOC-205397,SocialWelfare,Anitaa Negi,1966-09-06,,,9759392301,39562678140,"H.No 190, Nehru Nagar, Dehradun - 248001",248001,F,shopkeeper,,,,Old Age Pension,pending,12000,2024-04-23,P0117
SOC-597889,SocialWelfare,Sunita Yadav,1992-09-05,823016856050,,9210373808,69591437379,219 Main Road Haldwani 263139,263139,F,teacher,400000,10th,,Disability Support Allowance,rejected,6000,2023-08-06,P0015
SOC-624112,SocialWelfare,Harish Yadav,1960-07-22,328933038822,DCCCH6400C,9870348269,88504811746,218 Main Road Rishikesh 249201,249201,F,farmer,120000,,,Old Age Pension,rejected,25000,2024-08-10,P0092
SOC-235602,SocialWelfare,Saanjay Verma,,568697923455,,9648011361,70368496114,15 Main Road Haridwar 249401,249401,F,student,,,,Disability Support Allowance,approved,25000,2023-01-28,P0094
SOC-925198,SocialWelfare,Anita Sharma,1991-12-04,,EECFG8726G,9890099255,17419135523,"166/station rd, dehradun, uttarakhand, 248001",248001,M,unemployed,80000,postgraduate,,Disability Support Allowance,approved,50000,2023-11-08,P0086
SOC-275018,SocialWelfare,  Suresh Chauhan ,1985-12-26,849534929115,,9664735673,74039859391,"H.No 122, Shivalik Vihar, Haridwar - 249401",249401,F,farmer,400000,10th,,Disability Support Allowance,approved,12000,2024-02-21,P0040
SOC-921149,SocialWelfare,Vikram Negi,1989-08-15,,,9821856853,47887715751,55 Shivalik Vihar Rishikesh 249201,249201,M,teacher,45000,10th,,Disability Support Allowance,approved,6000,2026-01-26,P0035
SOC-496149,SocialWelfare,Amit Rawat,1974-08-01,350292818491,,9676267306,66296271299,"H.No 8, Shivalik Vihar, Haldwani - 263139",263139,M,student,120000,12th,,Widow Pension Scheme,approved,120000,2025-07-04,P0082
SOC-982348,SocialWelfare,Vikram Kumar,1962-10-22,,CCHDE5201F,9614407444,36688870138,"H.No 172, Gandhi Marg, Haldwani - 263139",263139,F,teacher,120000,postgraduate,,Disability Support Allowance,approved,50000,2024-08-13,P0088
SOC-707705,SocialWelfare,Gupta Geeta,1977-05-09,762591478635,,9544454140,87505757671,"12/nehru nagar, rishikesh, uttarakhand, 249201",249201,M,,400000,10th,,Old Age Pension,rejected,12000,2026-05-03,P0102
SOC-854787,SocialWelfare,Deepaak Sharma,1975-05-17,893498978756,,9233654018,60677789788,"H.No 86, Gandhi Marg, Haridwar - 249401",249401,M,shopkeeper,180000,,,Old Age Pension,pending,25000,2026-03-25,P0071
SOC-966286,SocialWelfare,Priya Rawat,1959-03-25,598075116992,,9509123009,99431601323,"197/shivalik vihar, roorkee, uttarakhand, 247667",247667,M,labourer,45000,10th,,Widow Pension Scheme,pending,0,2023-05-20,P0046
SOC-172961,SocialWelfare,GEETA BISHT,2002-03-21,866991201768,,9260221190,62827618829,"16/nehru nagar, haridwar, uttarakhand, 249401",249401,F,student,650000,postgraduate,,Old Age Pension,approved,120000,2025-07-13,P0099
SOC-765320,SocialWelfare,MOHAN SINGH,1981-11-13,473059307653,,9574364121,79637317274,199 Gandhi Marg Haldwani 263139,263139,M,,650000,10th,,Widow Pension Scheme,approved,50000,2026-07-13,P0019
SOC-382234,SocialWelfare,Sunita Verma,1997-01-25,,ABCEA8916F,9623829662,10067567428,167 Gandhi Marg Haldwani 263139,263139,M,teacher,,graduate,,Disability Support Allowance,approved,6000,2025-09-06,P0104
SOC-734775,SocialWelfare,  Priya Gupta ,1956-03-01,,,9581331845,60586197987,36 Shivalik Vihar Dehradun 248001,248001,F,teacher,250000,none,,Disability Support Allowance,rejected,6000,2026-03-21,P0050
SOC-211636,SocialWelfare,Kavita Bisht,1982-11-27,919387006700,,9811443654,65599182910,"30/shivalik vihar, roorkee, uttarakhand, 247667",247667,M,teacher,45000,graduate,,Old Age Pension,pending,25000,2026-04-25,P0036
SOC-966212,SocialWelfare,Kavita Gupta,1992-11-13,,,9487298927,19047567324,"H.No 8, Shivalik Vihar, Rishikesh - 249201",249201,M,farmer,,graduate,,Disability Support Allowance,approved,0,2023-04-07,P0109
SOC-903398,SocialWelfare,Rajesh Chauhan,1995-07-10,351413416321,,9213669678,66879611145,80 Gandhi Marg Haldwani 263139,263139,M,,180000,postgraduate,,Widow Pension Scheme,pending,120000,2023-05-05,P0058
SOC-207348,SocialWelfare,Anitaa Yadav,2004-03-03,364393554176,,9257243284,36869178923,181 Station Rd Roorkee 247667,247667,F,,250000,10th,,Old Age Pension,rejected,25000,2023-03-01,P0059
SOC-964371,SocialWelfare,  Rekha Negi ,1973-08-17,820128744522,EJEJD2557C,9558234365,58339383596,153 Shivalik Vihar Rishikesh 249201,249201,F,student,400000,graduate,,Widow Pension Scheme,pending,25000,2023-04-17,P0052
SOC-329177,SocialWelfare,Gupta Kavita,2000-05-20,378831946131,,9248033880,64008380709,"27/shivalik vihar, haldwani, uttarakhand, 263139",263139,F,shopkeeper,80000,,,Disability Support Allowance,approved,50000,2025-11-23,P0119
SOC-999924,SocialWelfare,Suresh Kumar,1959-05-12,879597856425,,9216396351,68396828876,"250/nehru nagar, rishikesh, uttarakhand, 249201",249201,F,labourer,400000,12th,,Widow Pension Scheme,approved,6000,2026-04-27,P0017
SOC-329437,SocialWelfare,SUNITA BISHT,1985-09-28,,,9738360085,91775067774,"H.No 85, Shivalik Vihar, Haridwar - 249401",249401,M,,180000,postgraduate,,Old Age Pension,approved,0,2023-03-19,P0011
SOC-149617,SocialWelfare,AMIT SHARMA,2001-06-20,838119392229,GEFHB1510B,9752376434,16176905249,"H.No 42, Shivalik Vihar, Roorkee - 247667",247667,M,student,45000,10th,,Widow Pension Scheme,approved,6000,2024-02-02,P0073
SOC-779564,SocialWelfare,Rajesh Sharma,1991-09-07,766657282204,,9203810954,58936443839,"H.No 223, Station Rd, Haridwar - 249401",249401,F,,250000,,,Old Age Pension,pending,50000,2026-05-01,P0083
SOC-583814,SocialWelfare,  Vikram Gupta ,1964-12-14,817583578851,,9486041850,86503232964,"H.No 242, Nehru Nagar, Dehradun - 248001",248001,F,teacher,400000,none,,Disability Support Allowance,rejected,6000,2025-12-01,P0114
SOC-576133,SocialWelfare,Mohan Chauhan,2001-02-17,,,9780884334,74392666025,183 Main Road Rishikesh 249201,249201,M,shopkeeper,80000,,,Disability Support Allowance,rejected,12000,2025-07-16,P0108
SOC-755455,SocialWelfare,Vikram Negi,1986-05-28,,,9857704655,84851345353,"44/station rd, dehradun, uttarakhand, 248001",248001,F,farmer,,none,,Widow Pension Scheme,pending,25000,2025-02-21,P0014
SOC-290065,SocialWelfare,Vikram Singh,1995-05-25,974149195499,EHCDJ2320B,9261953189,62532868056,226 Gandhi Marg Rishikesh 249201,249201,M,unemployed,80000,10th,,Widow Pension Scheme,approved,12000,2025-01-23,P0022
SOC-597938,SocialWelfare,AMIT RAWAT,1988-09-20,447271085634,,9454002758,83420343971,"H.No 107, Gandhi Marg, Dehradun - 248001",248001,F,unemployed,,,,Widow Pension Scheme,approved,6000,2026-07-05,P0062
SOC-612537,SocialWelfare,SANJAY CHAUHAN,1997-09-07,,,9846923032,62417984820,124 Shivalik Vihar Dehradun 248001,248001,M,student,250000,12th,,Widow Pension Scheme,rejected,6000,2024-09-21,P0101
SOC-473276,SocialWelfare,RAJESH CHAUHAN,2001-08-17,888777082208,,9937800943,98267176166,"H.No 20, Shivalik Vihar, Roorkee - 247667",247667,F,teacher,80000,10th,,Old Age Pension,approved,50000,2025-06-27,P0077
SOC-979249,SocialWelfare,Laakshmi Kumar,,876523156383,,9680911523,91758564086,"235/station rd, haridwar, uttarakhand, 249401",249401,F,farmer,80000,12th,,Widow Pension Scheme,rejected,25000,2024-12-18,P0041
SOC-444412,SocialWelfare,ARJUN GUPTA,1996-01-03,848871798798,,9202393989,82562575713,"122/main road, roorkee, uttarakhand, 247667",247667,M,farmer,80000,10th,,Widow Pension Scheme,pending,25000,2023-11-21,P0106
SOC-742544,SocialWelfare,Vikram Joshi,1976-09-09,238958919022,,9445505799,39504714583,"69/nehru nagar, haridwar, uttarakhand, 249401",249401,M,unemployed,,postgraduate,,Widow Pension Scheme,pending,120000,2025-06-28,P0039
